Year,Country / territory of asylum/residence,Latitude,Longitude,Origin,RSD procedure type / level,Total persons pending start-year,of which UNHCR-assisted,Applied during year,statistics.filter.decisions_recognized,statistics.filter.decisions_other,Rejected,Otherwise closed,Total decisions,Total persons pending end-year,of which UNHCR-assisted
2008,Afghanistan,33.93911,67.70995,Eritrea,U / FI,0,0,1,0,0,0,0,,1,1
2010,Afghanistan,33.93911,67.70995,Eritrea,U / FI,0,0,1,1,0,0,0,1,0,0
2009,Afghanistan,33.93911,67.70995,Eritrea,U / FI,1,1,0,1,0,0,0,1,0,0
2014,Albania,41.15333,20.16833,Eritrea,G / FI,0,0,27,0,0,0,26,26,*,*
2014,Algeria,28.03389,1.65963,Eritrea,U / FI,0,0,0,0,0,0,0,,*,*
2006,Algeria,28.03389,1.65963,Eritrea,U / FI,0,0,1,1,0,0,0,1,0,0
2008,Algeria,28.03389,1.65963,Eritrea,U / FA,0,0,1,0,0,0,0,,1,0
2012,Algeria,28.03389,1.65963,Eritrea,U / FI,0,0,1,0,0,0,0,,1,1
2009,Algeria,28.03389,1.65963,Eritrea,U / FI,1,0,0,0,0,0,1,1,0,0
2013,Algeria,28.03389,1.65963,Eritrea,U / FI,1,1,0,1,0,0,0,1,0,0
2014,Angola,-11.20269,17.87389,Eritrea,G / FI,1270,0,514,0,0,0,0,,1784,0
2013,Angola,-11.20269,17.87389,Eritrea,G / FI,977,20,293,0,0,0,0,,1270,0
2007,Angola,-11.20269,17.87389,Eritrea,G / FA,42,0,82,0,0,5,0,5,119,11
2006,Angola,-11.20269,17.87389,Eritrea,G / FA,0,0,45,3,0,0,0,3,42,0
2008,Angola,-11.20269,17.87389,Eritrea,G / FA,119,11,20,0,0,1,0,1,138,1
2009,Angola,-11.20269,17.87389,Eritrea,G / FI,138,1,10,1,0,9,95,105,43,15
2005,Angola,-11.20269,17.87389,Eritrea,G / FA,0,0,1,1,0,0,0,1,0,0
2010,Angola,-11.20269,17.87389,Eritrea,G / FA,43,1,0,0,0,0,0,,43,15
2011,Angola,-11.20269,17.87389,Eritrea,G / FA,43,15,0,0,0,6,0,6,37,20
2012,Angola,-11.20269,17.87389,Eritrea,G / FA,37,20,0,0,0,0,0,,977,0
2007,Argentina,-38.4161,-63.61667,Eritrea,G / FI,0,0,6,0,0,0,0,,6,6
2008,Argentina,-38.4161,-63.61667,Eritrea,G / FI,2,2,0,2,0,0,0,2,0,0
2009,Argentina,-38.4161,-63.61667,Eritrea,G / FI,3,0,0,0,0,0,3,3,0,0
2011,Argentina,-38.4161,-63.61667,Eritrea,G / FI,1,0,0,0,0,0,1,1,0,0
2014,Australia,-25.2744,133.77514,Eritrea,G / AR,*,0,0,0,0,*,0,*,*,0
2007,Australia,-25.2744,133.77514,Eritrea,G / FI,1,0,21,12,0,1,0,13,9,0
2013,Australia,-25.2744,133.77514,Eritrea,G / FI,16,0,17,1,0,0,0,1,29,0
2014,Australia,-25.2744,133.77514,Eritrea,G / FI,31,0,16,18,0,*,0,22,26,0
2012,Australia,-25.2744,133.77514,Eritrea,G / FI,4,0,14,1,0,1,0,2,16,0
2009,Australia,-25.2744,133.77514,Eritrea,G / FI,3,0,12,6,0,1,1,8,8,0
2011,Australia,-25.2744,133.77514,Eritrea,G / FI,21,0,11,27,0,0,0,27,4,0
2004,Australia,-25.2744,133.77514,Eritrea,G / FI,3,0,10,0,0,0,0,,0,0
2010,Australia,-25.2744,133.77514,Eritrea,G / FI,8,0,9,9,0,0,0,9,21,0
2001,Australia,-25.2744,133.77514,Eritrea,G / FI,0,0,8,1,0,6,0,7,2,0
2005,Australia,-25.2744,133.77514,Eritrea,G / FI,0,0,7,7,0,2,0,9,8,0
2008,Australia,-25.2744,133.77514,Eritrea,G / FI,9,0,6,11,0,1,0,12,3,0
2000,Australia,-25.2744,133.77514,Eritrea,G / FI,0,0,5,0,0,5,0,5,0,0
2005,Australia,-25.2744,133.77514,Eritrea,G / AR,0,0,5,5,0,0,0,5,1,0
2000,Australia,-25.2744,133.77514,Eritrea,G / AR,6,0,4,0,0,2,0,2,8,0
2006,Australia,-25.2744,133.77514,Eritrea,G / FI,8,0,4,7,0,0,1,8,1,0
2001,Australia,-25.2744,133.77514,Eritrea,G / AR,8,0,3,0,0,1,0,1,10,0
2002,Australia,-25.2744,133.77514,Eritrea,G / FI,2,0,2,0,0,0,0,,4,0
2013,Australia,-25.2744,133.77514,Eritrea,G / AR,0,0,2,0,0,0,0,,2,0
2002,Australia,-25.2744,133.77514,Eritrea,G / AR,10,0,1,0,0,1,0,1,10,0
2003,Australia,-25.2744,133.77514,Eritrea,G / FI,4,0,1,2,0,0,0,2,3,0
2008,Australia,-25.2744,133.77514,Eritrea,G / AR,0,0,1,1,0,0,0,1,0,0
2009,Australia,-25.2744,133.77514,Eritrea,G / AR,0,0,1,1,0,0,0,1,0,0
2011,Australia,-25.2744,133.77514,Eritrea,G / AR,0,0,1,1,0,0,0,1,0,0
2012,Australia,-25.2744,133.77514,Eritrea,G / AR,0,0,1,1,0,0,0,1,0,0
2003,Australia,-25.2744,133.77514,Eritrea,G / AR,10,0,0,4,0,6,0,10,0,0
2006,Australia,-25.2744,133.77514,Eritrea,G / AR,1,0,0,1,0,0,0,1,0,0
2014,Austria,47.51623,14.55007,Eritrea,G / FA,0,0,112,0,0,0,0,,0,0
2013,Austria,47.51623,14.55007,Eritrea,G / FA,19,0,59,15,2,4,4,25,54,0
2011,Austria,47.51623,14.55007,Eritrea,G / FA,19,0,27,12,1,5,4,22,24,0
2008,Austria,47.51623,14.55007,Eritrea,G / FA,17,0,19,4,0,4,0,8,28,0
2009,Austria,47.51623,14.55007,Eritrea,G / FA,28,0,18,10,4,7,1,22,31,0
2012,Austria,47.51623,14.55007,Eritrea,G / FA,24,0,17,11,2,6,3,22,19,0
2007,Austria,47.51623,14.55007,Eritrea,G / FA,13,0,14,6,0,1,1,8,17,0
2001,Austria,47.51623,14.55007,Eritrea,G / FA,0,0,11,0,0,2,0,2,0,0
2004,Austria,47.51623,14.55007,Eritrea,G / FA,0,0,11,6,1,0,2,9,0,0
2010,Austria,47.51623,14.55007,Eritrea,G / FA,31,0,11,15,0,6,0,21,19,0
2003,Austria,47.51623,14.55007,Eritrea,G / FA,0,0,9,4,0,1,0,5,0,0
2000,Austria,47.51623,14.55007,Eritrea,G / FA,0,0,8,0,0,1,7,8,0,0
2005,Austria,47.51623,14.55007,Eritrea,G / FA,0,0,7,9,0,0,1,10,0,0
2002,Austria,47.51623,14.55007,Eritrea,G / FA,0,0,5,1,0,1,1,3,0,0
2006,Austria,47.51623,14.55007,Eritrea,G / FA,0,0,4,3,0,0,2,5,13,0
2006,Bahrain,25.93041,50.63777,Eritrea,U / FI,0,0,2,1,1,0,0,2,0,0
2012,Belarus,53.70981,27.95339,Eritrea,G / JR,0,0,1,0,0,0,0,,1,1
2012,Belarus,53.70981,27.95339,Eritrea,G / FI,0,0,1,0,0,1,0,1,0,0
2013,Belarus,53.70981,27.95339,Eritrea,G / JR,1,1,0,0,0,1,0,1,0,0
2014,Belgium,50.50389,4.46994,Eritrea,G / FI,56,0,752,210,*,34,17,263,267,0
2010,Belgium,50.50389,4.46994,Eritrea,G / FI,0,0,106,27,6,11,0,44,0,0
2009,Belgium,50.50389,4.46994,Eritrea,G / FI,0,0,69,28,0,4,0,32,0,0
2012,Belgium,50.50389,4.46994,Eritrea,G / FI,14,0,65,12,1,12,1,26,32,0
2011,Belgium,50.50389,4.46994,Eritrea,G / FI,21,0,62,22,2,18,3,45,14,0
2013,Belgium,50.50389,4.46994,Eritrea,G / FI,32,0,57,13,1,13,1,28,56,0
2008,Belgium,50.50389,4.46994,Eritrea,G / FI,0,0,35,22,0,9,3,34,0,0
2000,Belgium,50.50389,4.46994,Eritrea,G / FI,0,0,28,0,0,0,0,,0,0
2014,Belgium,50.50389,4.46994,Eritrea,G / RA,0,0,28,0,0,0,15,15,0,0
2007,Belgium,50.50389,4.46994,Eritrea,G / FI,0,0,27,15,8,11,0,34,0,0
2004,Belgium,50.50389,4.46994,Eritrea,G / FI,0,0,24,1,0,0,1,2,0,0
2005,Belgium,50.50389,4.46994,Eritrea,G / FI,30,0,20,4,0,0,13,17,28,0
2006,Belgium,50.50389,4.46994,Eritrea,G / FI,28,0,20,5,1,13,5,24,0,0
2014,Belgium,50.50389,4.46994,Eritrea,G / JR,*,0,20,*,0,11,0,12,6,0
2012,Belgium,50.50389,4.46994,Eritrea,G / RA,0,0,15,0,0,0,0,,0,0
2006,Belgium,50.50389,4.46994,Eritrea,G / AR,0,0,14,0,0,0,0,,14,0
2003,Belgium,50.50389,4.46994,Eritrea,G / FI,0,0,13,0,0,0,2,2,0,0
2013,Belgium,50.50389,4.46994,Eritrea,G / RA,0,0,13,0,0,0,3,3,0,0
2001,Belgium,50.50389,4.46994,Eritrea,G / FI,0,0,10,0,0,0,0,,0,0
2010,Belgium,50.50389,4.46994,Eritrea,G / RA,0,0,9,0,0,0,0,,0,0
2011,Belgium,50.50389,4.46994,Eritrea,G / RA,0,0,9,0,0,0,0,,0,0
2002,Belgium,50.50389,4.46994,Eritrea,G / FI,0,0,6,0,0,0,1,1,0,0
2007,Belgium,50.50389,4.46994,Eritrea,G / SP,0,0,1,0,0,0,0,,0,0
2013,Belgium,50.50389,4.46994,Eritrea,G / JR,0,0,0,0,0,9,0,9,0,0
2011,Benin,9.30769,2.31583,Eritrea,G / FI,0,0,13,0,0,0,0,,13,0
2012,Benin,9.30769,2.31583,Eritrea,G / AR,0,0,13,13,0,0,0,13,0,0
2012,Benin,9.30769,2.31583,Eritrea,G / FI,13,0,0,0,0,13,0,13,0,0
